country,id,latitude,longitude,name,population,geometry
UGA,1.0,0.5833,32.5333,Bombo,75000.0,POINT (32.5333 0.5833)
UGA,2.0,0.671,30.275,Fort Portal,42670.0,POINT (30.275 0.671)
ITA,3.0,40.642,15.799,Potenza,69060.0,POINT (15.799 40.642)
ITA,4.0,41.563,14.656,Campobasso,50762.0,POINT (14.656 41.563)
ITA,5.0,45.737,7.315,Aosta,34062.0,POINT (7.315 45.737)
ALD,6.0,60.097,19.949,Mariehamn,10682.0,POINT (19.949 60.097)
PSE,7.0,31.90294,35.20621,Ramallah,24599.0,POINT (35.20621 31.90294)
VAT,8.0,41.90001,12.44781,Vatican City,832.0,POINT (12.44781 41.90001)
FRA,9.0,46.58329,0.33328,Poitier,85960.0,POINT (0.33328 46.58329)
FRA,10.0,45.77998,3.08001,Clermont-Ferrand,233050.0,POINT (3.08001 45.77998)
FRA,11.0,47.23,6.03001,Besancon,128426.0,POINT (6.03001 47.23)
ATA,12.0,-62.17389,-58.86386,Artigas Base,60.0,POINT (-58.86386 -62.17389)
ZMB,13.0,-13.62957,32.64001,Chipata,85963.0,POINT (32.64001 -13.62957)
UGA,14.0,0.44042,33.19993,Jinja,301619.0,POINT (33.19993 0.44042)
UGA,15.0,3.02037,30.90002,Arua,250000.0,POINT (30.90002 3.02037)
UGA,16.0,1.09041,34.17,Mbale,402368.0,POINT (34.17 1.09041)
UGA,17.0,2.54035,34.63999,Moroto,371.0,POINT (34.63999 2.54035)
UGA,18.0,-0.32961,31.72999,Masaka,65373.0,POINT (31.72999 -0.32961)
UGA,19.0,-0.59962,30.65,Mbarara,83700.0,POINT (30.65 -0.59962)
NAM,20.0,-20.45954,16.64001,Otjiwarongo,24815.0,POINT (16.64001 -20.45954)
ITA,21.0,44.50042,11.34002,Bologna,488172.0,POINT (11.34002 44.50042)
ITA,22.0,39.2224,9.10398,Cagliari,291511.0,POINT (9.10398 39.2224)
ITA,23.0,38.90038,16.60001,Catanzaro,95251.0,POINT (16.60001 38.90038)
ITA,24.0,41.11422,16.87276,Bari,500577.0,POINT (16.87276 41.11422)
ITA,25.0,42.3504,13.39002,L'Aquila,68503.0,POINT (13.39002 42.3504)
ITA,26.0,43.60037,13.49994,Ancona,100507.0,POINT (13.49994 43.60037)
ITA,27.0,43.11038,12.38998,Perugia,149125.0,POINT (12.38998 43.11038)
ITA,28.0,45.65038,13.80003,Trieste,216035.0,POINT (13.80003 45.65038)
ITA,29.0,46.08043,11.11998,Trento,107808.0,POINT (11.11998 46.08043)
FRA,30.0,14.61041,-61.08003,Fort-de-France,253995.0,POINT (-61.08003 14.61041)
JPN,31.0,35.42309,136.76275,Gifu,412895.0,POINT (136.76275 35.42309)
FRA,32.0,5.49762,-54.03253,Saint-Laurent-du-Maroni,24287.0,POINT (-54.03253 5.49762)
FRA,33.0,49.18375,-0.34999,Caen,190099.0,POINT (-0.34999 49.18375)
FRA,34.0,47.21039,-1.59002,Nantes,438537.0,POINT (-1.59002 47.21039)
FRA,35.0,41.92706,8.72829,Ajaccio,54364.0,POINT (8.72829 41.92706)
FRA,36.0,43.6104,3.86999,Montpellier,327254.0,POINT (3.86999 43.6104)
FRA,37.0,47.3304,5.03002,Dijon,169946.0,POINT (5.03002 47.3304)
FRA,38.0,47.90042,1.90003,Orleans,217301.0,POINT (1.90003 47.90042)
FRA,39.0,49.43041,1.07998,Rouen,532559.0,POINT (1.07998 49.43041)
FRA,40.0,49.25039,4.02998,Reims,196565.0,POINT (4.02998 49.25039)
FRA,41.0,49.90038,2.3,Amiens,143086.0,POINT (2.3 49.90038)
FRA,42.0,48.68368,6.20002,Nancy,268976.0,POINT (6.20002 48.68368)
FRA,43.0,16.23039,-61.43998,Basse-terre,307.0,POINT (-61.43998 16.23039)
SRB,44.0,45.25038,19.84994,Novi Sad,225457.0,POINT (19.84994 45.25038)
BIH,45.0,44.7804,17.17997,Banja Luka,221738.0,POINT (17.17997 44.7804)
GBR,46.0,19.28044,-81.32998,George Town,4268.0,POINT (-81.32998 19.28044)
GBR,47.0,21.46643,-71.13598,Grand Turk,5801.0,POINT (-71.13598 21.46643)
GBR,48.0,54.15043,-4.48002,Douglas,35854.0,POINT (-4.48002 54.15043)
SMR,49.0,43.91715,12.46667,San Marino,29579.0,POINT (12.46667 43.91715)
NLD,50.0,12.20043,-69.01998,Willemstad,146813.0,POINT (-69.01998 12.20043)
NLD,51.0,12.53038,-70.02899,Oranjestad,68775.0,POINT (-70.02899 12.53038)
LIE,52.0,47.13372,9.51667,Vaduz,36281.0,POINT (9.51667 47.13372)
ATA,53.0,-62.49951,-59.68332,Capitan Arturo Prat Station,41.0,POINT (-59.68332 -62.49951)
ATA,54.0,-64.23289,-56.65002,Marambio Station,150.0,POINT (-56.65002 -64.23289)
ATA,55.0,-74.61919,164.21903,Zucchelli Station,80.0,POINT (164.21903 -74.61919)
ATA,56.0,-67.56478,-68.12354,Rothera Station,130.0,POINT (-68.12354 -67.56478)
ATA,57.0,-64.76241,-64.04688,Palmer Station,46.0,POINT (-64.04688 -64.76241)
ATA,58.0,-62.18274,-58.90765,Base Presidente Montalva,150.0,POINT (-58.90765 -62.18274)
ATA,59.0,-62.22414,-58.65048,Carlini Station,60.0,POINT (-58.65048 -62.22414)
ATA,60.0,-62.22485,-58.7716,King Sejong Station,90.0,POINT (-58.7716 -62.22485)
ATA,61.0,-62.21632,-58.9667,Great Wall Station,40.0,POINT (-58.9667 -62.21632)
ATA,62.0,-62.19496,-58.95267,Escudero Base,20.0,POINT (-58.95267 -62.19496)
ATA,63.0,-61.99959,-57.99998,Elephant Island,6.0,POINT (-57.99998 -61.99959)
ATA,64.0,-77.84694,166.7491,Scott Base,85.0,POINT (166.7491 -77.84694)
ATA,65.0,-77.73228,166.86942,McMurdo Station,1000.0,POINT (166.86942 -77.73228)
ATA,66.0,-69.43406,76.3393,Zhongshan Station,60.0,POINT (76.3393 -69.43406)
ATA,67.0,-78.46628,106.80003,Vostok,25.0,POINT (106.80003 -78.46628)
ATA,68.0,-68.83287,90.5,Peter I Island,1.0,POINT (90.5 -68.83287)
ATA,69.0,-66.57553,93.00629,Mirny Station,169.0,POINT (93.00629 -66.57553)
ATA,70.0,-67.61452,62.875,Mawson Station,60.0,POINT (62.875 -67.61452)
