country,id,latitude,longitude,name,population,geometry
USA,115.0,13.47002,144.75002,Agana,122411.0,POINT (144.75002 13.47002)
USA,124.0,34.12038,-117.30003,San Bernardino,1745000.0,POINT (-117.30003 34.12038)
USA,125.0,41.17998,-73.19996,Bridgeport,1018000.0,POINT (-73.19996 41.17998)
USA,126.0,43.17043,-77.61995,Rochester,755000.0,POINT (-77.61995 43.17043)
USA,160.0,48.60113,-93.41085,International Falls,15240.0,POINT (-93.41085 48.60113)
USA,161.0,44.94399,-93.08497,St. Paul,734854.0,POINT (-93.08497 44.94399)
USA,162.0,45.7883,-108.54,Billings,104552.0,POINT (-108.54 45.7883)
USA,163.0,47.50029,-111.29999,Great Falls,66558.0,POINT (-111.29999 47.50029)
USA,164.0,46.87224,-113.99305,Missoula,72856.0,POINT (-113.99305 46.87224)
USA,165.0,48.23249,-101.29582,Minot,39439.0,POINT (-101.29582 48.23249)
USA,166.0,46.87723,-96.78943,Fargo,162842.0,POINT (-96.78943 46.87723)
USA,167.0,19.7,-155.09003,Hilo,52391.0,POINT (-155.09003 19.7)
USA,168.0,47.03804,-122.89943,Olympia,156984.0,POINT (-122.89943 47.03804)
USA,169.0,47.67,-117.41995,Spokane,347705.0,POINT (-117.41995 47.67)
USA,170.0,45.6303,-122.63999,Vancouver,525802.0,POINT (-122.63999 45.6303)
USA,171.0,35.1981,-111.65051,Flagstaff,63993.0,POINT (-111.65051 35.1981)
USA,172.0,32.205,-110.88999,Tucson,823000.0,POINT (-110.88999 32.205)
USA,173.0,34.43499,-119.71999,Santa Barbara,181632.0,POINT (-119.71999 34.43499)
USA,174.0,36.74772,-119.77298,Fresno,616353.0,POINT (-119.77298 36.74772)
USA,175.0,40.80222,-124.1475,Eureka,42398.0,POINT (-124.1475 40.80222)
USA,176.0,38.86296,-104.79199,Colorado Springs,493654.0,POINT (-104.79199 38.86296)
USA,177.0,39.52998,-119.82001,Reno,328585.0,POINT (-119.82001 39.52998)
USA,178.0,40.83251,-115.76199,Elko,19252.0,POINT (-115.76199 40.83251)
USA,179.0,35.10497,-106.64133,Albuquerque,898642.0,POINT (-106.64133 35.10497)
USA,180.0,44.92807,-123.0239,Salem,229010.0,POINT (-123.0239 44.92807)
USA,181.0,42.86662,-106.31249,Casper,60791.0,POINT (-106.31249 42.86662)
USA,182.0,39.05001,-95.66998,Topeka,132091.0,POINT (-95.66998 39.05001)
USA,183.0,39.10709,-94.60409,Kansas City,1469000.0,POINT (-94.60409 39.10709)
USA,184.0,36.12,-95.93002,Tulsa,946962.0,POINT (-95.93002 36.12)
USA,185.0,43.54999,-96.73,Sioux Falls,155724.0,POINT (-96.73 43.54999)
USA,186.0,32.50002,-93.77002,Shreveport,248053.0,POINT (-93.77002 32.50002)
USA,187.0,30.45795,-91.14016,Baton Rouge,422072.0,POINT (-91.14016 30.45795)
USA,188.0,32.73998,-97.34004,Ft. Worth,1440454.0,POINT (-97.34004 32.73998)
USA,189.0,27.74281,-97.40189,Corpus Christi,277454.0,POINT (-97.40189 27.74281)
USA,190.0,30.26695,-97.74278,Austin,1161000.0,POINT (-97.74278 30.26695)
USA,191.0,35.22998,-101.83,Amarillo,181766.0,POINT (-101.83 35.22998)
USA,192.0,31.77998,-106.51,El Paso,753000.0,POINT (-106.51 31.77998)
USA,193.0,27.50614,-99.50722,Laredo,434768.0,POINT (-99.50722 27.50614)
USA,195.0,44.4758,-73.21247,Burlington,93807.0,POINT (-73.21247 44.4758)
USA,196.0,32.3616,-86.27919,Montgomery,198325.0,POINT (-86.27919 32.3616)
USA,197.0,30.44999,-84.28003,Tallahassee,221222.0,POINT (-84.28003 30.44999)
USA,198.0,28.50998,-81.38003,Orlando,1350000.0,POINT (-81.38003 28.50998)
USA,199.0,30.33002,-81.66999,Jacksonville,988000.0,POINT (-81.66999 30.33002)
USA,200.0,32.02111,-81.11,Savannah,180187.0,POINT (-81.11 32.02111)
USA,201.0,34.03998,-80.89998,Columbia,398093.0,POINT (-80.89998 34.03998)
USA,202.0,39.74999,-86.17005,Indianapolis,1436000.0,POINT (-86.17005 39.74999)
USA,203.0,34.22552,-77.94502,Wilmington,161560.0,POINT (-77.94502 34.22552)
USA,204.0,35.97001,-83.92003,Knoxville,655400.0,POINT (-83.92003 35.97001)
USA,205.0,37.55002,-77.44999,Richmond,912000.0,POINT (-77.44999 37.55002)
USA,206.0,38.34974,-81.63273,Charleston,123799.0,POINT (-81.63273 38.34974)
USA,207.0,39.29999,-76.61998,Baltimore,2255000.0,POINT (-76.61998 39.29999)
USA,208.0,43.04999,-76.15001,Syracuse,662577.0,POINT (-76.15001 43.04999)
USA,211.0,44.31056,-69.77999,Augusta,24042.0,POINT (-69.77999 44.31056)
USA,212.0,46.49526,-84.34528,Sault Ste. Marie,83805.0,POINT (-84.34528 46.49526)
USA,216.0,57.0604,-135.32755,Sitka,8931.0,POINT (-135.32755 57.0604)
USA,714.0,-14.27661,-170.70665,Pago Pago,12576.0,POINT (-170.70665 -14.27661)
USA,732.0,46.59275,-112.03529,Helena,38725.0,POINT (-112.03529 46.59275)
USA,733.0,46.80832,-100.78332,Bismarck,63871.0,POINT (-100.78332 46.80832)
USA,734.0,43.60859,-116.22749,Boise,338071.0,POINT (-116.22749 43.60859)
USA,735.0,37.29998,-121.84999,San Jose,1668000.0,POINT (-121.84999 37.29998)
USA,736.0,38.57502,-121.47004,Sacramento,1604000.0,POINT (-121.47004 38.57502)
USA,737.0,36.21,-115.22001,Las Vegas,1823000.0,POINT (-115.22001 36.21)
USA,738.0,35.68693,-105.93724,Santa Fe,92681.0,POINT (-105.93724 35.68693)
USA,739.0,45.52002,-122.67999,Portland,1875000.0,POINT (-122.67999 45.52002)
USA,740.0,40.77502,-111.93005,Salt Lake City,966000.0,POINT (-111.93005 40.77502)
USA,741.0,41.14001,-104.81971,Cheyenne,72927.0,POINT (-104.81971 41.14001)
USA,742.0,41.57998,-93.61998,Des Moines,380655.0,POINT (-93.61998 41.57998)
USA,743.0,41.24,-96.00999,Omaha,877110.0,POINT (-96.00999 41.24)
USA,744.0,35.47004,-97.51868,Oklahoma City,788000.0,POINT (-97.51868 35.47004)
USA,745.0,44.36834,-100.35055,Pierre,13879.0,POINT (-100.35055 44.36834)
USA,746.0,29.48733,-98.50731,San Antonio,1473000.0,POINT (-98.50731 29.48733)
USA,749.0,32.29882,-90.185,Jackson,250902.0,POINT (-90.185 32.29882)
USA,750.0,35.81878,-78.64469,Raleigh,1163515.0,POINT (-78.64469 35.81878)
USA,751.0,41.46999,-81.695,Cleveland,1890000.0,POINT (-81.695 41.46999)
