Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01802710,78,1550236201,00,VI,78,A,+18.3267480,0,9,United States Virgin Islands,-064.9712508,G4000,348021896,00000000000000000022
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01779809,69,4644252461,00,MP,69,A,+14.9367835,0,9,Commonwealth of the Northern Mariana Islands,+145.6010210,G4000,472292529,00000000000000000023
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01802705,66,934337453,00,GU,66,A,+13.4382886,0,9,Guam,+144.7729493,G4000,543555840,00000000000000000024
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01802701,60,1307243754,00,AS,60,A,-14.2671590,0,9,American Samoa,-170.6682674,G4000,197759063,00000000000000000029
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01779808,72,4922382562,00,PR,72,A,+18.2176480,0,9,Puerto Rico,-066.4107992,G4000,8868896030,00000000000000000031
82.06,72.3,17.89,30.52,859.11,14.68,25.7,102.4,105.29,396.88,1317.44,142.57,4000.75,0,348.76,141.07,344.08,01219835,44,1323670487,00,RI,44,A,+41.5974187,1,1,Rhode Island,-071.5272723,G4000,2677779902,00000000000000000005
721.24,129.35,70.35,99.54,5269.52,337.31,71.91,4356.77,526.44,8959.73,1040.8,509.12,24215.510000000002,0,411.29,107.39,1604.75,01779794,33,1026675248,00,NH,33,A,+43.6726907,1,1,New Hampshire,-071.5843145,G4000,23189413166,00000000000000000007
3143.22,47.73,436.31,112.26,9549.47,143.92,30.89,3130.28,388.37,5363.2,1008.69,220.59,24903.429999999997,0,199.51,43.69,1085.3,01779802,50,1030416650,00,VT,50,A,+44.0685773,1,1,Vermont,-072.6691839,G4000,23874175944,00000000000000000009
464.02,54.8,219.86,84.62,6390.41,27.27,25.89,139.98,941.48,1325.73,1839.04,818.32,14358.02,0,811.82,211.79,1002.99,01779780,09,1815617571,00,CT,09,A,+41.5798637,1,1,Connecticut,-072.7466572,G4000,12542497068,0000000000000000000a
2243.57,1230.16,1065.44,770.27,12842.87,1610.55,108.94,18030.04,870.49,29417.45,11876.22,645.54,91627.83000000003,0,381.47,119.44,10415.38,01779787,23,11746549764,00,ME,23,A,+45.4092843,1,1,Maine,-068.6666160,G4000,79887426037,00000000000000000025
741.49,176.77,273.68,340.79,4599.49,123.78,151.36,1756.69,947.87,4668.31,7118.94,1478.98,27331.75,0,1861.08,629.31,2463.21,00606926,25,7129925486,00,MA,25,A,+42.1565196,1,1,Massachusetts,-071.4895915,G4000,20205125364,00000000000000000033
864.59,102.44,1983.88,929.36,4117.03,60.7,94.38,769.87,2009.17,866.99,3462.83,1862.34,22591.29,0,1261.57,608.52,3597.62,01779795,34,3544860246,00,NJ,34,A,+40.1072744,2,1,New Jersey,-074.6652012,G4000,19047825980,0000000000000000000e
16149.9,551.85,11839.33,155.35,59331.78,506.33,218.69,1323.84,5105.9,12810.19,3313.12,3449.91,119277.1,0,1934.94,887.13,1698.84,01779798,42,3394589990,00,PA,42,A,+40.9024957,2,1,Pennsylvania,-077.8334514,G4000,115884442321,00000000000000000012
17556.42,442.47,11240.54,640.18,49387.58,517.93,207.5,9763.94,3981.76,12256.08,19290.32,2848.11,141283.38,0,2124.23,1045.87,9980.45,01779796,36,19246994695,00,NY,36,A,+42.9133974,2,1,New York,-075.5962723,G4000,122049149763,00000000000000000026
10168.59,384.63,97470.21,421.21,19444.94,61.19,123.23,136.47,2193.84,884.25,6475.14,5107.13,149994.44999999998,0,2909.22,1107.34,3107.06,01779784,17,6214824948,00,IL,17,A,+40.1028754,3,2,Illinois,-089.1526108,G4000,143780567633,00000000000000000002
11494.74,833.86,43821.61,4298.73,36521.78,671.3,134.46,2375.76,2516.0,8745.84,29127.28,2391.06,169634.73,0,1369.19,454.92,24878.2,01779806,55,29344951758,00,WI,55,A,+44.6309071,3,2,Wisconsin,-089.7093916,G4000,140290039723,0000000000000000000f
